BCL6_BM,BCL6_H_GM_CSF,BCL6_H_M_CSF,BCL6_H,WHIM_BM,WHIM_H_GM_CSF,WHIM_H_M_CSF,WHIM_H,WT_BM,WT_H_GM_CSF,WT_H_M_CSF,WT_H,Gene
171.9256748,7.180850843,9.823338456,5.958090516,21.74639778,8.531667072,5.31687379,2.536623552,128.5354874,14.19884211,42.75932845,15.20135472,ENSMUSG00000086580
2.911300604,3.654155473,0.984027735,2.266455894,1.601154377,1.015136439,0.827406105,1.763262713,11.15991954,4.186915899,2.601949221,1.201982443,ENSMUSG00000109916
8.849035803,18.02625883,29.38233401,27.45940073,33.08613833,24.27586091,28.20828918,23.12020538,13.17064393,19.70227338,31.56320207,38.27922157,ENSMUSG00000078684
7.066784868,0.052800374,0.220284186,0.803068901,0.242052416,0.094587887,0.102499963,0.092373656,3.273272262,0.211183088,0.631331674,0.328859666,ENSMUSG00000089818
2.520736641,7.512489992,4.684526953,0.975023478,2.01417627,4.335732381,8.609651528,1.322447035,3.42153895,7.253030356,4.956916576,1.421488464,ENSMUSG00000073405
33.14463404,47.11060556,39.8115031,59.01490829,47.39086131,42.05193081,18.56561762,78.42461998,53.6184481,59.79385153,23.0356263,39.9198893,ENSMUSG00000090136
717.5212401,575.1439123,398.3036776,1014.121763,1001.870277,442.1222196,397.8195874,1312.733991,706.3115441,675.3687945,422.1744471,607.8712066,ENSMUSG00000069682
4.845706731,1.563577471,1.257643882,1.766654235,1.688395433,1.637973626,2.030159323,0.917169128,3.258608524,1.305850624,1.851394876,2.167503966,ENSMUSG00000109695
37.4722378,7.582397687,12.63503716,8.997472848,23.41754937,7.364949536,21.11595179,11.27916095,2.800774026,7.694614192,39.77839053,12.18599695,ENSMUSG00000100153
9.63442795,0.907321624,1.528666138,1.478510374,2.181696979,1.278780134,1.671198388,1.332881268,0.325860852,1.5658698,1.274540252,2.361196428,Gm6211
176.471723,164.2001866,135.0666297,192.1865318,176.8144998,143.1595683,116.991946,284.543697,152.2392575,163.3036582,165.1862891,163.8405868,ENSMUSG00000066724
262.3000436,222.5636078,359.2106036,385.6774986,528.0319165,249.1124302,232.6096786,609.0922453,175.6145599,240.9424806,178.2574817,566.4388098,ENSMUSG00000069014
0.290160919,0.159351528,0.391716768,1.579923941,0.473630796,1.135856234,1.002588558,1.367160795,5.051006143,0.992454921,0.416268987,0.420387069,ENSMUSG00000093392
3.298375657,0.171442814,0.373795342,0.706244497,1.046477535,0.777504414,0.265402376,0.316464166,3.3104204,0.326858624,0.626341725,0.448487906,ENSMUSG00000091358
11.82352442,14.08877655,9.380176193,23.64281569,15.00836744,13.61608663,14.69878637,20.92984493,19.3784561,12.87424899,14.87549224,18.31041826,ENSMUSG00000116995
15.118605,0.702825776,1.510862617,0.927671651,1.133686658,1.39008122,2.231129861,1.260762301,3.42153895,1.161612575,2.474354983,1.955368061,ENSMUSG00000116632
162.3135371,0.405770873,0.115035114,0.333722602,0.308920194,0.499552297,0.251855956,0.3485034,143.1244407,0.673462867,0.097778261,0.221648075,ENSMUSG00000109597
4.127379165,24.77673383,28.08601758,32.44775226,29.78244219,20.7888945,23.91234726,47.92688978,42.19898039,28.38511884,22.70414521,30.28812773,ENSMUSG00000075279
93.34846977,77.6086295,37.22173924,77.62813951,74.69009479,27.71144526,13.32714422,99.66749192,57.64950977,55.59130808,20.95815786,34.03781048,ENSMUSG00000069972
4.20180922,0.446955165,0.117904114,0.089662526,0.37712916,0.415184712,0.172035693,0.847720098,8.438655564,0.26397886,0.365709666,0.886301851,ENSMUSG00000083933
175.885974,48.29106352,55.01327352,148.7181112,99.77349487,18.62860335,80.43771912,146.3870795,80.60021547,16.59481984,37.62116538,118.5285317,ENSMUSG00000112808
20.23741576,12.54499922,11.58474732,10.34647841,8.488375866,10.14615405,11.59700163,14.93080511,10.07610635,15.44667018,15.85529558,12.26605166,ENSMUSG00000043801
45.74347154,27.08659178,38.04372742,53.74884282,58.82065302,24.64896203,27.89871704,56.06866084,39.75502399,30.51595619,20.41342861,52.06279104,Nop14
41.47924961,41.71229534,46.30094553,53.90355326,58.75582896,43.13207639,41.79166412,55.06513308,43.51757633,48.73049752,39.30096373,68.15941519,Wdr33
13.37415058,36.17295532,20.87217227,11.94531527,12.36475909,41.86275504,27.28893628,11.75649645,9.124103867,41.95326266,25.62223452,15.08147234,Vps37a
27.13595769,53.01157534,102.1049626,228.9366947,280.7871889,50.94118819,54.83805591,435.8747618,34.86711121,81.67505922,40.53809999,257.4820879,Impdh1
38.37799731,43.56125883,25.52018825,27.46280784,25.75603756,45.33525272,39.40050998,26.88143968,29.32747672,45.14033223,48.10228565,32.59450212,Herc4
14.92477673,1.953613832,1.021835654,0.312897533,0.319330364,2.484936009,1.650130444,0.184133533,10.26461685,2.16462665,1.48461299,0.181529955,Pex11a
59.69891309,74.29012601,69.06980198,119.6527118,146.2740631,79.75842998,91.10255055,103.2240311,42.03604996,59.60642654,111.7703261,98.64628192,Setd2
26.74830115,87.96542283,127.965265,104.5143815,89.25571067,114.2721872,147.3988613,62.35988988,7.006008327,85.79312943,128.7901768,125.4067017,Myo7a
4.070393654,22.49295926,13.67687721,13.52412669,11.33622792,16.51280058,16.92343083,15.95823954,9.775825572,19.11206945,16.70189613,14.8491503,Btd
26.7068219,42.18749871,35.8505537,28.72913892,33.63570589,28.74105044,48.04719351,39.07252195,10.61752415,32.09982935,23.46703009,26.57787329,Adk
86.05975154,33.90470406,62.95725971,41.96686006,39.62698217,32.96271625,60.99687998,41.61878182,37.96278931,34.55256253,74.20343157,38.8866208,Armc5
62.52473543,82.74293785,95.60372981,173.0417224,174.1120069,81.40089252,98.82170726,164.3443954,51.08895323,65.68480377,101.862184,150.8085514,Pik3r1
530.0311553,228.1340473,326.7712517,262.4730522,342.1944179,240.783085,229.0726432,499.3486596,567.0858656,228.4684236,136.5419186,633.695658,H2afz
13.18032231,273.9283395,115.2316207,9.769321528,9.228647516,188.0134648,39.6798809,4.419204795,15.31546006,878.152075,97.69578256,9.802653865,Csf1
67.25840942,102.0483385,85.13030737,20.88264226,17.83444116,79.55041679,91.08297923,23.46588539,19.91026101,94.71561489,115.2839102,18.02207608,Fam89b
51.75214788,62.83244488,94.28831291,104.5776563,98.33810488,58.19920532,104.9559713,107.0736495,44.48000635,50.68394108,130.24551,105.9412447,Mapre2
6.977817692,7.867836508,7.89407344,27.75394161,29.40933659,5.623610588,5.487834979,22.64787217,16.61890347,6.969041898,2.061962485,28.30150022,Ydjc
9.497585192,15.25930804,16.50657595,12.79403244,14.3060003,18.43237357,17.00018108,9.268054501,10.91633856,15.41636541,14.4337374,21.49314665,Ogfod1
35.23584723,2013.325775,508.6304871,17.85494143,16.3815838,1727.607673,1347.841897,5.985904962,76.05054625,1941.089352,629.9955221,6.597524677,ENSMUSG00000112148
23.25939231,74.13172488,63.23590643,67.23820311,83.60068926,58.47615545,92.25380435,86.97240548,27.20938118,65.36116568,92.78831185,63.75332013,Cops2
6.478322242,19.50519731,10.52887667,4.552033304,3.738687967,23.98732778,11.31594221,3.668615136,51.59648151,29.68368364,17.10797902,3.21453244,Pld1
86.44740807,64.99726021,11.86905344,21.86806089,20.37327721,62.08332062,10.43803444,18.35197547,38.61451101,65.41396146,9.320111674,36.66723557,Relt
32.95080577,82.31578283,69.79923544,83.29958112,101.4183656,69.81788435,81.27851814,85.71354589,59.79546642,85.42355903,113.9028077,74.42437699,Fxr1
9.497585192,79.35896189,98.48923649,39.14695796,44.25918843,101.8022172,130.6673061,37.71668537,6.517217048,102.3710018,105.0776083,43.20412924,E430025E21Rik
59.11762211,717.5570806,109.5722232,112.3649806,285.6090774,134.5873406,106.7979773,33.0519692,114.8659505,485.6683062,1061.457048,116.9779029,Egr1
115.909305,227.3056094,181.7688423,55.27856409,40.8104205,157.5930385,177.4082103,71.62794439,154.458044,219.1024536,202.48471610000001,58.6341754,Ap2s1
17.05688769,1.003207103,2.672493249,6.988044894,8.206822284,0.761512648,2.647883735,5.769517371,9.938755998,0.422366176,0.794515385,10.89179729,Ccdc18
16.86305942,255.6066098,29.67253533,68.59409242,111.1588997,300.1161426,26.09508609,100.4448423,21.66974669,308.6440829,5.855973459,84.77448889,Ass1
189.1763908,104.9671432,229.9931969,501.4913054,521.8305208,96.47202942,175.1126102,523.8997973,266.3912468,105.5915439,131.2703053,524.0951325,Trim28
18.52804426,2.774606845,2.166212984,5.048914586,3.828579465,2.082656933,3.436799588,2.655236237,9.287360154,2.146095334,6.260076867,4.22699761,Gm35339
34.52701725,8.870726808,13.05229982,25.29029073,22.55222795,3.486926336,7.283599029,31.2011203,24.28722398,5.068446904,3.794340887,32.17966986,Enkd1
15.31243327,2.376016823,5.305685126,8.065803062,8.047125169,3.767483627,6.101645129,7.089141025,14.98959921,2.375809738,2.84550823,7.914706029,Zc3h8
3.488908846,50.21315553,37.06115384,29.27330249,22.06572814,48.25585412,58.40694269,30.32068581,4.236191081,47.93856094,79.17935944,25.7046416,Tmem106b
28.57474493,48.38879701,79.91855252,144.9237072,142.9632459,53.44656481,76.28783292,107.232925,19.02163847,53.07981321,68.10414654,117.3986893,Erap1
49.23238038,45.24933958,45.19225385,55.40685208,64.96456922,55.23451634,76.9920165,39.38585585,65.82389219,46.04519896,85.66423146,52.79145228,Thoc2
10.07907,19.27213645,21.30138255,16.06207334,22.06572814,18.63702007,20.03181609,14.76137157,6.191356196,14.88840769,14.55749639,19.35109318,Uba6
45.355815,11.03527813,16.20690299,42.03500219,46.03881655,14.32261004,19.41785243,52.08309051,39.26623272,7.610563323,12.48629631,36.1643976,Tfdp2
116.4987368,159.597578,57.8154613,47.6553372,40.33174429,132.726845,73.78347216,56.78248517,56.63314977,149.1132106,83.5016452,39.40470729,Sri
12.5988375,18.46629715,55.73995588,72.44307973,74.38226032,18.73136748,45.7251146,73.37199583,26.39472905,15.34102584,19.44137825,81.98655185,Cstf2
31.78783615,30.99381945,28.65069968,29.58682582,38.56680537,36.13040846,29.04997084,33.17472488,54.25583193,29.40534433,29.77927461,34.60182405,Dlg1
12.01735269,23.0210158,48.26129793,63.24006797,57.92652801,30.19602056,36.41799514,58.37033,8.961173441,28.03455491,39.75463672,58.52525743,Armcx3
28.29892731,21.64862848,40.79482341,33.79293352,36.77121073,27.34896524,17.50128349,45.18330014,30.95678098,31.97882144,20.94248694,41.06389108,Pin1
41.59380212,136.2386926,51.46042956,29.12853523,34.89227087,147.0937831,64.91689916,35.9760097,13.52322537,138.4363216,71.55174782,29.94405586,Sav1
21.12728135,48.41794282,64.6507558,126.9654748,112.2877325,75.67832537,70.57185782,73.19307942,65.33510091,55.88274074,139.553621,100.7139081,Spen
13.98626025,4.80483402,2.128090653,1.084085651,3.007102103,8.993704851,0.395570805,2.494242151,16.87617062,2.640210964,1.521150965,0.984001273,Trim7
0.206233278,5.280142986,10.33987638,3.930896935,4.793883221,7.787789454,6.641045909,4.726738484,6.517217048,5.493241685,7.25307676,7.049897325,Coprs
19.57665519,14.15736424,15.68124715,17.07029872,18.03526802,15.92338979,13.08595655,20.62283295,54.90755363,18.79529482,16.41322138,21.19797894,Lias
74.32228686,76.65294274,49.95479402,35.1144041,129.8799616,62.25285739,16.63561738,41.84864185,16.63666289,58.81237813,72.82521585,31.98394427,Hist1h2bc
55.82234771,21.38415141,39.5764809,48.01238805,62.33584167,28.89740101,44.40002148,45.94131651,47.9015453,21.32949187,37.52775847,52.97044081,Fmr1
17.25071596,21.26762098,75.89487813,5.252019851,6.707214963,23.74813265,113.131792,5.495035651,8.309451736,27.50659719,180.5211041,6.827450518,Stard8
36.43971461,25.18577833,30.06554905,40.01611778,46.6860992,23.28625519,19.64806482,52.47805694,58.16616215,26.55627329,25.69205257,46.36275046,Imp3
18.80134211,22.59850721,22.8733981,13.24978508,18.12056116,19.11985917,25.67115606,15.43652786,6.354286622,22.9661608,18.35146612,21.48831795,Rngtt
71.91028788,136.7001679,140.1545853,168.0993321,193.0422302,135.6730974,155.0738866,181.5556637,85.86433461,154.6916118,138.2752043,177.8271068,Mapk1
12.79266577,27.4561944,27.42728729,20.44267356,19.65433683,37.6450972,30.73847641,19.73917613,17.27062518,32.09982935,33.48627076,24.92130354,Abcd3
19.96431173,97.36388938,61.50664609,116.4326485,46.11130454,95.42955869,96.97394492,56.52899467,35.03004163,71.37988369,147.8839495,48.94047581,Cd48
32.96456758,10.08487141,55.69082917,40.452436,42.83465568,6.174825506,95.43241608,32.57721157,5.702564917,5.596351827,122.473561,35.42117765,Sgsh
6.977817692,29.30420749,80.96082489,22.35479038,19.4791522,25.33031545,159.6405267,8.654276057,6.354286622,7.391408074,458.0443465,15.79310607,Abca1
44.5927131,14.32801505,29.13996245,24.52487384,29.9309308,21.23999054,30.82178881,22.04299352,42.49632841,11.79505062,28.58618187,41.56745517,Tubgcp6
150.9922217,517.3908633,362.3979448,229.0757602,168.7022312,438.6312853,456.817507,149.2095397,148.5925487,505.3083334,504.4797417,177.7904377,Atp6ap1
20.54579654,20.16974281,20.99695413,19.62013548,19.1663681,25.02494888,23.33526211,17.32791682,21.34388583,23.49971487,20.35453896,20.52032762,Armc8
18.60751385,42.45150057,31.59834183,26.94398896,20.40521025,35.75101485,33.50148552,34.77054884,42.03604996,35.16203692,28.3726038,23.16322223,Elof1
36.05205808,36.06265534,49.43719496,69.55746915,93.82437019,47.49474227,43.28752656,80.16468187,37.96278931,41.81425139,34.80675154,68.40629593,Imp4
68.429326,52.53637198,50.50226213,40.0978188,43.43467743,45.89115695,41.52188698,58.66126098,35.68192627,48.25533557,37.03169154,47.08923334,Cops5
22.09642269,5.438438506,19.37553675,22.56338874,28.96329594,2.685334075,14.85121237,25.86609669,17.04969152,2.270218194,2.020723236,43.93024906,Fancd2
17.6383725,36.64345945,37.80791919,41.16340873,47.45249207,39.39825963,47.96890825,51.49601143,8.472382163,44.71796605,47.54885492,50.06596153,Man1a2
102.8018621,115.5578422,136.6323964,266.4145181,281.5580524,143.5579596,136.088944,222.8166127,103.1923113,137.095309,165.5986816,212.3130784,Ankrd11
46.71261288,43.24350618,46.13470073,61.50174835,68.74895337,36.14760262,29.31859672,89.26179907,40.08088485,45.9323216,24.90850682,80.84618067,Snrpd3
657.4654892,898.3666808,460.6670936,1426.298206,1121.386052,613.5587565,602.2553993,1466.282944,665.570791,943.8300153,541.3187635,668.0338643,Rps7
56.01636981,97.36441738,71.23294946,64.51912355,70.53560675,94.14099913,110.0997732,82.81129452,43.81003644,127.1232436,85.79124835,45.42678201,Vamp3
24.81001846,29.04020562,23.89523375,17.34842986,12.07068775,23.76721054,19.11081305,17.12441858,27.69817245,22.91336503,28.82623555,12.70709684,Nrbf2
2.907424038,101.7463204,68.58089293,21.41609778,19.57491937,103.2050036,65.73659187,21.75844583,14.50080793,85.63474211,51.50782289,11.61791711,Parp3
58.92398767,47.09793347,45.00007014,64.87165477,54.95675562,45.45028121,51.15404376,60.67199916,58.49202301,45.29882514,64.86933979,61.82910261,Fbxo3
9.303756923,4.488031777,10.37552272,4.38129555,6.297705704,6.853653912,8.460909538,2.735794657,8.14652131,5.697350139,13.7873534,5.632547744,Pfkfb2
0.193828269,0.369602617,0.15017054,0.105516001,0.095894908,1.405712269,0.153730757,0.037471174,8.473359745,2.360446168,0.138563879,0.146857733,Prom1
14.14946365,4.963235142,5.816602953,0.660561458,2.618508984,7.254409963,6.293520762,1.25824581,3.258608524,7.074633442,3.670293224,2.977091259,Kctd7
20.93345308,20.64494617,19.10302104,20.95203598,27.48881991,25.00871664,16.76993032,35.20019375,47.73861488,19.17457964,21.1557351,27.71377883,Pccb
741.0209795,154.3798451,127.8603303,95.32179965,109.3728849,128.5585652,110.5541347,100.1566733,934.4076236,129.8105484,122.0215788,128.3391366,Eif5b
